data-season	data-episode	prime-season	prime-episode	prime-link	netflix-season	netflix-episode	netflix-link
4	13	6	1	https://www.primevideo.com/detail/0KIYYKKWA1GFQ0ULLMEG6U1HMN?autoplay=1	6	1	https://www.netflix.com/watch/81439405
4	14	6	2	https://www.primevideo.com/detail/0N90DDV41PIU6C9C8AP8U1FNDQ?autoplay=1	6	2	https://www.netflix.com/watch/81439406
5	1	6	3	https://www.primevideo.com/detail/0HSXJRAPVPHEVC9T03BMX40MY7?autoplay=1	6	3	https://www.netflix.com/watch/81439407
5	2	6	4	https://www.primevideo.com/detail/0FWQB0NZ89DF4ZCF688NJP1H5E?autoplay=1	6	4	https://www.netflix.com/watch/81439408
5	3	6	5	https://www.primevideo.com/detail/0KN8EV8V3W1DSM43OVARY9O3IZ?autoplay=1	6	5	https://www.netflix.com/watch/81439409
5	4	6	6	https://www.primevideo.com/detail/0O2UJGIM1C0Q4GTUG5NGU0OVB5?autoplay=1	6	6	https://www.netflix.com/watch/81439410
5	5	6	7	https://www.primevideo.com/detail/0LTUXTW3YQRR0O4VSRR347POHW?autoplay=1	6	7	https://www.netflix.com/watch/81439411
5	6	6	8	https://www.primevideo.com/detail/0KEPI9X1XM0KAGEPEJ1KZ3F2FB?autoplay=1	6	8	https://www.netflix.com/watch/81439412
5	7	6	9	https://www.primevideo.com/detail/0TENWSF4NU1D5R9LFO09ZOK316?autoplay=1	6	9	https://www.netflix.com/watch/81439413
5	8	6	10	https://www.primevideo.com/detail/0JP4SHXJUX5LDDV14TH28NGHTK?autoplay=1	6	10	https://www.netflix.com/watch/81439414
5	9	6	11	https://www.primevideo.com/detail/0KVRBGKS07US8GUOUO1MPGJ6H5?autoplay=1	6	11	https://www.netflix.com/watch/81439415
5	10	6	12	https://www.primevideo.com/detail/0RIGO1SEHDVQRLEVIWF5J5SA0O?autoplay=1	6	12	https://www.netflix.com/watch/81439416
5	11	6	13	https://www.primevideo.com/detail/0I9ZCXYJ5HAGMJPP193ZWFJU6N?autoplay=1	6	13	https://www.netflix.com/watch/81439417
5	12	6	14	https://www.primevideo.com/detail/0O73ZR6MIWTX7QLLL7QYINUZZL?autoplay=1	6	14	https://www.netflix.com/watch/81439418
5	13	6	15	https://www.primevideo.com/detail/0JP4SHXMKT5URPDEKKP01FV9DJ?autoplay=1	6	15	https://www.netflix.com/watch/81439419
